gene_symbol	flag	ClinVar_PL_record_count	interpretation
A2ML1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
A4GALT	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AAR2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ABCA13	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ABCA2	low_record_burden	14	computed but semantic interpretation limited because record count < 20
ABCA5	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ABCA7	low_record_burden	18	computed but semantic interpretation limited because record count < 20
ABCA8	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ABCB1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ABCB6	low_record_burden	10	computed but semantic interpretation limited because record count < 20
ABCB7	low_record_burden	10	computed but semantic interpretation limited because record count < 20
ABCC1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ABCD3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ABHD16A	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ACACA	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ACBD6	low_record_burden	15	computed but semantic interpretation limited because record count < 20
ACD	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ACER3	low_record_burden	6	computed but semantic interpretation limited because record count < 20
ACKR1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ACKR3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ACOT1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ACOX2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ACP4	low_record_burden	12	computed but semantic interpretation limited because record count < 20
ACP6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ACR	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ACSL4	low_record_burden	14	computed but semantic interpretation limited because record count < 20
ACSL5	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ACSM3	low_record_burden	8	computed but semantic interpretation limited because record count < 20
ACTL7A	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ACTL9	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ACTN4	low_record_burden	17	computed but semantic interpretation limited because record count < 20
ACTR2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ACTRT3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ACVR1	low_record_burden	10	computed but semantic interpretation limited because record count < 20
ACVR1B	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ACVR2B	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ACY1	low_record_burden	12	computed but semantic interpretation limited because record count < 20
ADAD2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADAM10	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ADAM22	low_record_burden	9	computed but semantic interpretation limited because record count < 20
ADAMTS1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADAMTS15	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ADAMTS16	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADAMTS19	low_record_burden	9	computed but semantic interpretation limited because record count < 20
ADAMTS3	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ADAMTS6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADAMTS9	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADARB1	low_record_burden	6	computed but semantic interpretation limited because record count < 20
ADAT3	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ADCY3	low_record_burden	10	computed but semantic interpretation limited because record count < 20
ADCY6	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ADD1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADD3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADGRB2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADGRB3	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ADGRE2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADGRG2	low_record_burden	11	computed but semantic interpretation limited because record count < 20
ADGRG6	low_record_burden	8	computed but semantic interpretation limited because record count < 20
ADH5	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ADIPOQ	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ADIPOR1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADK	low_record_burden	13	computed but semantic interpretation limited because record count < 20
ADPRS	low_record_burden	19	computed but semantic interpretation limited because record count < 20
ADRA2A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADRA2B	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ADRB1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AFAP1L2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AFF2	low_record_burden	16	computed but semantic interpretation limited because record count < 20
AFF3	low_record_burden	11	computed but semantic interpretation limited because record count < 20
AFF4	low_record_burden	7	computed but semantic interpretation limited because record count < 20
AFP	low_record_burden	3	computed but semantic interpretation limited because record count < 20
AGGF1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AGMAT	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AGMO	low_record_burden	5	computed but semantic interpretation limited because record count < 20
AGO1	low_record_burden	16	computed but semantic interpretation limited because record count < 20
AGO2	low_record_burden	17	computed but semantic interpretation limited because record count < 20
AGPAT3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AGPAT5	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AGR2	low_record_burden	8	computed but semantic interpretation limited because record count < 20
AGT	low_record_burden	17	computed but semantic interpretation limited because record count < 20
AGTR1	low_record_burden	13	computed but semantic interpretation limited because record count < 20
AHCY	low_record_burden	19	computed but semantic interpretation limited because record count < 20
AHR	low_record_burden	9	computed but semantic interpretation limited because record count < 20
AHSG	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AIMP2	low_record_burden	7	computed but semantic interpretation limited because record count < 20
AK1	low_record_burden	11	computed but semantic interpretation limited because record count < 20
AK9	low_record_burden	3	computed but semantic interpretation limited because record count < 20
AKAP19	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AKAP3	low_record_burden	2	computed but semantic interpretation limited because record count < 20
AKAP9	low_record_burden	4	computed but semantic interpretation limited because record count < 20
AKR1C2	low_record_burden	4	computed but semantic interpretation limited because record count < 20
AKT1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
AKT2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
AKT3	low_record_burden	13	computed but semantic interpretation limited because record count < 20
ALAD	low_record_burden	6	computed but semantic interpretation limited because record count < 20
ALDH1A2	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ALDH1B1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ALDH3A1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ALDH6A1	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ALDOA	low_record_burden	11	computed but semantic interpretation limited because record count < 20
ALG10	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ALG11	low_record_burden	18	computed but semantic interpretation limited because record count < 20
ALG13	low_record_burden	11	computed but semantic interpretation limited because record count < 20
ALG14	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ALG2	low_record_burden	11	computed but semantic interpretation limited because record count < 20
ALG5	low_record_burden	8	computed but semantic interpretation limited because record count < 20
ALK	low_record_burden	19	computed but semantic interpretation limited because record count < 20
ALKBH8	low_record_burden	8	computed but semantic interpretation limited because record count < 20
ALPI	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ALPK1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ALX1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ALX3	low_record_burden	10	computed but semantic interpretation limited because record count < 20
AMACR	low_record_burden	4	computed but semantic interpretation limited because record count < 20
AMBN	low_record_burden	5	computed but semantic interpretation limited because record count < 20
AMD1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
AMDHD2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AMELX	low_record_burden	19	computed but semantic interpretation limited because record count < 20
AMER3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AMFR	low_record_burden	7	computed but semantic interpretation limited because record count < 20
AMMECR1	low_record_burden	14	computed but semantic interpretation limited because record count < 20
AMOT	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AMOTL1	low_record_burden	5	computed but semantic interpretation limited because record count < 20
AMPD1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
AMPD3	low_record_burden	3	computed but semantic interpretation limited because record count < 20
AMTN	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ANAPC1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ANAPC15	low_record_burden	8	computed but semantic interpretation limited because record count < 20
ANAPC7	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ANG	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ANGPT2	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ANGPTL3	low_record_burden	14	computed but semantic interpretation limited because record count < 20
ANKH	low_record_burden	14	computed but semantic interpretation limited because record count < 20
ANKLE2	low_record_burden	8	computed but semantic interpretation limited because record count < 20
ANKRD24	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ANKRD26	low_record_burden	13	computed but semantic interpretation limited because record count < 20
ANKRD31	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ANKRD36	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ANKRD37	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ANKRD44	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ANKS1B	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ANKS3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ANLN	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ANO1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ANO3	low_record_burden	12	computed but semantic interpretation limited because record count < 20
ANO4	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ANTXR1	low_record_burden	10	computed but semantic interpretation limited because record count < 20
ANXA11	low_record_burden	6	computed but semantic interpretation limited because record count < 20
ANXA7	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AP1B1	low_record_burden	12	computed but semantic interpretation limited because record count < 20
AP1G2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AP1S1	low_record_burden	9	computed but semantic interpretation limited because record count < 20
AP2M1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AP2S1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
AP3D1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AP5B1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
AP5M1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
APBB1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
APCDD1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
APOA2	low_record_burden	3	computed but semantic interpretation limited because record count < 20
APOA4	low_record_burden	2	computed but semantic interpretation limited because record count < 20
APOA5	low_record_burden	14	computed but semantic interpretation limited because record count < 20
APOC2	low_record_burden	18	computed but semantic interpretation limited because record count < 20
APOC3	low_record_burden	3	computed but semantic interpretation limited because record count < 20
APOH	low_record_burden	1	computed but semantic interpretation limited because record count < 20
APOO	low_record_burden	1	computed but semantic interpretation limited because record count < 20
APPL1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
AQP1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
AQP4	low_record_burden	2	computed but semantic interpretation limited because record count < 20
AQP5	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ARF1	low_record_burden	12	computed but semantic interpretation limited because record count < 20
ARF3	low_record_burden	10	computed but semantic interpretation limited because record count < 20
ARHGAP11A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARHGAP19	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ARHGAP21	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARHGAP29	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ARHGAP31	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ARHGAP32	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ARHGAP35	low_record_burden	17	computed but semantic interpretation limited because record count < 20
ARHGAP4	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARHGAP5	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ARHGAP6	low_record_burden	19	computed but semantic interpretation limited because record count < 20
ARHGDIA	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ARHGEF10L	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARHGEF15	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARHGEF2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARHGEF25	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARHGEF26	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARID4A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARIH2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARL14EP	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARL16	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARL2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARL2BP	low_record_burden	16	computed but semantic interpretation limited because record count < 20
ARL3	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ARL6IP1	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ARL6IP6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARMC12	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ARMC2	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ARMS2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ARNT2	low_record_burden	10	computed but semantic interpretation limited because record count < 20
ARPC5	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ARR3	low_record_burden	10	computed but semantic interpretation limited because record count < 20
ARSK	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ARV1	low_record_burden	16	computed but semantic interpretation limited because record count < 20
ASCC3	low_record_burden	13	computed but semantic interpretation limited because record count < 20
ASCL5	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ASH2L	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ASIC2	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ASIC5	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ASPRV1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ASTL	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ASTN1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ATAD1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ATCAY	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ATG12	low_record_burden	4	computed but semantic interpretation limited because record count < 20
ATG4D	low_record_burden	7	computed but semantic interpretation limited because record count < 20
ATG7	low_record_burden	9	computed but semantic interpretation limited because record count < 20
ATG9B	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATIC	low_record_burden	8	computed but semantic interpretation limited because record count < 20
ATL3	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ATN1	low_record_burden	10	computed but semantic interpretation limited because record count < 20
ATOH1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ATOH7	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ATP11A	low_record_burden	6	computed but semantic interpretation limited because record count < 20
ATP11C	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ATP13A3	low_record_burden	8	computed but semantic interpretation limited because record count < 20
ATP2B3	low_record_burden	9	computed but semantic interpretation limited because record count < 20
ATP5F1A	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ATP5F1B	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATP5F1D	low_record_burden	2	computed but semantic interpretation limited because record count < 20
ATP5F1E	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATP5MC3	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ATP5ME	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ATP5MK	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ATP5PO	low_record_burden	3	computed but semantic interpretation limited because record count < 20
ATP6AP1	low_record_burden	13	computed but semantic interpretation limited because record count < 20
ATP6AP2	low_record_burden	6	computed but semantic interpretation limited because record count < 20
ATP6V0A1	low_record_burden	12	computed but semantic interpretation limited because record count < 20
ATP6V1B2	low_record_burden	18	computed but semantic interpretation limited because record count < 20
ATP6V1C1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATP6V1C2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATP6V1E1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATP8A1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATP8B3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATP9A	low_record_burden	12	computed but semantic interpretation limited because record count < 20
ATPAF2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATXN10	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATXN2	low_record_burden	5	computed but semantic interpretation limited because record count < 20
ATXN3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
ATXN7	low_record_burden	3	computed but semantic interpretation limited because record count < 20
AURKA	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AURKB	low_record_burden	1	computed but semantic interpretation limited because record count < 20
AURKC	low_record_burden	6	computed but semantic interpretation limited because record count < 20
AVIL	low_record_burden	4	computed but semantic interpretation limited because record count < 20
AXIN1	low_record_burden	4	computed but semantic interpretation limited because record count < 20
AXL	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B2M	low_record_burden	5	computed but semantic interpretation limited because record count < 20
B3GALT1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B3GNT4	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B3GNT6	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B4GALNT3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B4GALT1	low_record_burden	3	computed but semantic interpretation limited because record count < 20
B4GALT3	low_record_burden	1	computed but semantic interpretation limited because record count < 20
B4GAT1	low_record_burden	6	computed but semantic interpretation limited because record count < 20
B9D1	low_record_burden	14	computed but semantic interpretation limited because record count < 20
B9D2	low_record_burden	10	computed but semantic interpretation limited because record count < 20
BAAT	low_record_burden	6	computed but semantic interpretation limited because record count < 20
BACH2	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BAG5	low_record_burden	5	computed but semantic interpretation limited because record count < 20
BAIAP2	low_record_burden	6	computed but semantic interpretation limited because record count < 20
BAX	low_record_burden	4	computed but semantic interpretation limited because record count < 20
BAZ1A	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BAZ2B	low_record_burden	18	computed but semantic interpretation limited because record count < 20
BBIP1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
BBOF1	low_record_burden	7	computed but semantic interpretation limited because record count < 20
BCAM	low_record_burden	4	computed but semantic interpretation limited because record count < 20
BCAP31	low_record_burden	17	computed but semantic interpretation limited because record count < 20
BCAR1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BCAS3	low_record_burden	16	computed but semantic interpretation limited because record count < 20
BCAT2	low_record_burden	8	computed but semantic interpretation limited because record count < 20
BCKDK	low_record_burden	17	computed but semantic interpretation limited because record count < 20
