gene_symbol	ClinVar_PL_record_count_from_summary	gene_variant_rows	unique_variant_uid_count	unique_genomic_coordinate_count	unique_gene_coordinate_count	row_to_unique_coordinate_ratio	summary_vs_remapped_row_delta	low_record_burden_flag	interpretation_limit
A2ML1	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
A4GALT	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
AAAS	103	103	103	103	103	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
AAGAB	21	21	21	21	21	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
AAR2	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
AARS1	83	83	83	83	83	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
AARS2	71	71	71	71	71	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
AASS	20	20	20	20	20	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABAT	39	39	39	39	39	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCA1	76	76	76	76	76	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCA12	206	206	206	206	206	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCA13	4	4	4	4	4	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCA2	14	14	14	14	14	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCA3	135	135	135	135	135	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCA4	1464	1464	1464	1464	1464	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCA5	5	5	5	5	5	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCA7	18	18	18	18	18	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCA8	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCB1	4	4	4	4	4	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCB11	318	318	318	318	318	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCB4	164	164	164	164	164	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCB6	10	10	10	10	10	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCB7	10	10	10	10	10	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCC1	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCC2	189	189	189	189	189	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCC6	296	296	296	296	296	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCC8	476	476	476	476	476	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCC9	102	102	102	102	102	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCD1	512	512	512	512	512	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCD3	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCD4	42	42	42	42	42	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCG5	70	70	70	70	70	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABCG8	60	60	60	60	60	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABHD12	52	52	52	52	52	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABHD16A	7	7	7	7	7	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABHD5	32	32	32	32	32	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ABL1	26	26	26	26	26	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACACA	2	2	2	2	2	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACAD8	37	37	37	37	37	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACAD9	185	185	185	185	185	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACADM	370	370	370	370	370	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACADS	93	93	93	93	93	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACADSB	42	42	42	42	42	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACADVL	513	513	513	513	513	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACAN	203	203	203	203	203	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACAT1	212	212	212	212	212	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACBD5	24	24	24	24	24	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACBD6	15	15	15	15	15	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACD	5	5	5	5	5	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACE	64	64	64	64	64	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACER3	6	6	6	6	6	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACKR1	2	2	2	2	2	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACKR3	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACO2	82	82	82	82	82	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACOT1	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACOX1	80	80	80	80	80	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACOX2	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACP4	12	12	12	12	12	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACP5	38	38	38	38	38	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACP6	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACR	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACSF3	186	186	186	186	186	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACSL4	14	14	14	14	14	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACSL5	1	1	1	1	1	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACSM3	8	8	8	8	8	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACTA1	230	230	230	230	230	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACTA2	40	40	40	40	40	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACTB	137	137	137	137	137	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACTC1	22	22	22	22	22	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACTG1	59	59	59	59	59	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACTG2	42	42	42	42	42	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACTL6B	54	54	54	54	54	1.000000	0	false	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
ACTL7A	7	7	7	7	7	1.000000	0	true	ClinVar_record_count_not_patient_coverage; record_to_coordinate_redundancy_sensitivity
