gene_symbol	MANE_transcript	ClinVar_PL_record_count	cds_count	splice_window_10bp_count	utr_count	intron_count	exon_count	unit_count	best_single_exon_unit_id	best_single_exon_coverage_fraction	best_single_exon_donor_size_bp	best_adjacent_exon_block_unit_id	best_adjacent_exon_block_coverage_fraction	best_adjacent_exon_block_donor_size_bp	best_downstream_CDS_implantation_unit_id	best_downstream_CDS_implantation_coverage_fraction	best_downstream_CDS_implantation_donor_size_bp	semantic_class_prePAExact	mechanism_or_context_caution_class	semantic_panel_role	semantic_note	mode_recommendation_status	interpretation_limit	not_total_score
A2ML1	ENST00000299698.12	1	1	0	0	0	36	204	A2ML1:single_exon:E1	1.000000	93	A2ML1:exon_block:E1-E2	1.000000	277	A2ML1:downstream_CDS_implantation:after_E34	0.000000	38	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
A4GALT	ENST00000642412.2	1	1	0	0	0	3	8	A4GALT:single_exon:E3	1.000000	1877	A4GALT:exon_block:E2-E3	1.000000	2018	A4GALT:downstream_CDS_implantation:after_E1	1.000000	1059	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
AAAS	ENST00000209873.9	103	74	45	0	29	16	85	AAAS:single_exon:E9	0.087379	125	AAAS:exon_block:E8-E12	0.368932	492	AAAS:downstream_CDS_implantation:after_E1	0.932039	1515	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
AAGAB	ENST00000261880.10	21	16	5	0	5	10	49	AAGAB:single_exon:E4	0.238095	90	AAGAB:exon_block:E1-E5	0.809524	565	AAGAB:downstream_CDS_implantation:after_E1	0.857143	872	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
AAR2	ENST00000320849.9	1	1	0	0	0	4	13	AAR2:single_exon:E2	1.000000	805	AAR2:exon_block:E1-E2	1.000000	831	AAR2:downstream_CDS_implantation:after_E1	1.000000	1152	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
AARS1	ENST00000261772.13	83	73	26	0	10	21	115	AARS1:single_exon:E8	0.156627	109	AARS1:exon_block:E4-E8	0.373494	738	AARS1:downstream_CDS_implantation:after_E1	1.000000	2904	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
AARS2	ENST00000244571.5	71	60	19	0	11	22	121	AARS2:single_exon:E1	0.098592	267	AARS2:exon_block:E1-E5	0.366197	918	AARS2:downstream_CDS_implantation:after_E1	0.901408	2712	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
AASS	ENST00000417368.7	20	16	7	0	4	24	133	AASS:single_exon:E22	0.100000	89	AASS:exon_block:E19-E23	0.400000	646	AASS:downstream_CDS_implantation:after_E1	1.000000	2778	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABAT	ENST00000268251.13	39	28	17	0	11	16	85	ABAT:single_exon:E10	0.153846	64	ABAT:exon_block:E10-E14	0.461538	666	ABAT:downstream_CDS_implantation:after_E1	1.000000	1500	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ABCA1	ENST00000374736.8	76	58	21	0	18	50	289	ABCA1:single_exon:E14	0.144737	177	ABCA1:exon_block:E13-E16	0.263158	828	ABCA1:downstream_CDS_implantation:after_E1	1.000000	6783	large_gene_or_donor_burden_stress_case	donor_burden_dominant	donor_burden_stress_panel	high theoretical coverage may require very large donor or complex transcript context	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
