figure_id	panel	locked_text	source_file	denominator	status	notes
Figure 1	Analysis flow	4,403,650 ClinVar VCF records → 337,682 primary P/LP VCF records → 5,738 mapped genes → 437,301 all-mapped opportunity rows	/home/pjj/workspace/projects/PrimeReplace/paper2_prime_replace_hardened/all_mapped_gene_enumeration_v1/validation/all_mapped_enumeration_validation.summary.json	all mapped genes and all-mapped opportunity rows	replace_old_306_flow	306 genes become curated display/benchmark subset, not main denominator
Figure 1	Curated display subset side box	306 curated display / benchmark genes retained from previous release	/home/pjj/workspace/projects/PrimeReplace/paper2_prime_replace_hardened/manuscript_source_prePAExact/data/tableS1_atlas_v2_gene_semantic_summary.tsv	curated display subset	side_box_not_main_flow	Use for examples, high-detail browser pages, and continuity with pre-allmapped release
Figure 2	Semantic class distribution	Full mapped-gene semantic distribution across 5,738 genes; low-record-burden interpretation-limited class shown separately	/home/pjj/workspace/projects/PrimeReplace/paper2_prime_replace_hardened/all_mapped_gene_enumeration_v1/data/all_mapped_semantic_class_summary.tsv	all mapped genes	new_main_denominator	Do not hide low-burden class; it is an interpretability result
Figure 3	Unit-type distribution	Unit-type distribution among 437,301 all-mapped opportunity rows	/home/pjj/workspace/projects/PrimeReplace/paper2_prime_replace_hardened/all_mapped_gene_enumeration_v1/data/all_mapped_unit_type_summary.tsv	all-mapped opportunity rows, not unique genes	replace_39,634_denominator	Old 39,634 denominator becomes legacy 306-subset denominator
Figure 4	Architecture archetypes	Representative architecture examples drawn from curated display subset but interpreted against full all-mapped atlas	/home/pjj/workspace/projects/PrimeReplace/paper2_prime_replace_hardened/manuscript_source_prePAExact/data/tableS1_atlas_v2_gene_semantic_summary.tsv	representative examples, not ranked candidates	retain_archetype_figure	Examples are not therapeutic candidates
Figure 3	Unit type: adjacent_exon_block	adjacent_exon_block: 276,985 / 437,301 (63.34%)	/home/pjj/workspace/projects/PrimeReplace/paper2_prime_replace_hardened/all_mapped_gene_enumeration_v1/data/all_mapped_unit_type_summary.tsv	all-mapped opportunity rows	source_locked	row distribution, not gene distribution
Figure 3	Unit type: single_exon	single_exon: 83,166 / 437,301 (19.02%)	/home/pjj/workspace/projects/PrimeReplace/paper2_prime_replace_hardened/all_mapped_gene_enumeration_v1/data/all_mapped_unit_type_summary.tsv	all-mapped opportunity rows	source_locked	row distribution, not gene distribution
Figure 3	Unit type: downstream_CDS_implantation	downstream_CDS_implantation: 77,150 / 437,301 (17.64%)	/home/pjj/workspace/projects/PrimeReplace/paper2_prime_replace_hardened/all_mapped_gene_enumeration_v1/data/all_mapped_unit_type_summary.tsv	all-mapped opportunity rows	source_locked	row distribution, not gene distribution
Figure 2	Semantic class: low_record_burden_interpretation_limited	low_record_burden_interpretation_limited: 3,459 / 5,738 (60.28%)	/home/pjj/workspace/projects/PrimeReplace/paper2_prime_replace_hardened/all_mapped_gene_enumeration_v1/data/all_mapped_semantic_class_summary.tsv	all mapped genes	source_locked	pre-implementation architecture class, not therapeutic suitability
Figure 2	Semantic class: compact_downstream_CDS_implantation_opportunity	compact_downstream_CDS_implantation_opportunity: 1,720 / 5,738 (29.98%)	/home/pjj/workspace/projects/PrimeReplace/paper2_prime_replace_hardened/all_mapped_gene_enumeration_v1/data/all_mapped_semantic_class_summary.tsv	all mapped genes	source_locked	pre-implementation architecture class, not therapeutic suitability
