gene_symbol	MANE_transcript	ClinVar_PL_record_count	semantic_class_prePAExact	public_label	curated_display_gene	low_record_burden_flag	browser_status	detail_page	unit_count	best_single_exon_coverage_fraction	best_adjacent_exon_block_coverage_fraction	best_downstream_CDS_implantation_coverage_fraction
A2ML1	ENST00000299698.12	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/A2ML1.html	204	1.000000	1.000000	0.000000
A4GALT	ENST00000642412.2	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/A4GALT.html	8	1.000000	1.000000	1.000000
AAAS	ENST00000209873.9	103	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/AAAS.html	85	0.087379	0.368932	0.932039
AAGAB	ENST00000261880.10	21	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/AAGAB.html	49	0.238095	0.809524	0.857143
AAR2	ENST00000320849.9	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/AAR2.html	13	1.000000	1.000000	1.000000
AARS1	ENST00000261772.13	83	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/AARS1.html	115	0.156627	0.373494	1.000000
AARS2	ENST00000244571.5	71	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/AARS2.html	121	0.098592	0.366197	0.901408
AASS	ENST00000417368.7	20	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/AASS.html	133	0.100000	0.400000	1.000000
ABAT	ENST00000268251.13	39	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ABAT.html	85	0.153846	0.461538	1.000000
ABCA1	ENST00000374736.8	76	large_gene_or_donor_burden_stress_case	Donor-burden stress	false	false	all-mapped enumerated	genes/ABCA1.html	289	0.144737	0.263158	1.000000
ABCA12	ENST00000272895.12	206	large_gene_or_donor_burden_stress_case	Donor-burden stress	false	false	all-mapped enumerated	genes/ABCA12.html	307	0.048544	0.140777	0.995146
ABCA13	ENST00000435803.6	4	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABCA13.html	361	0.500000	0.500000	1.000000
