gene_symbol	MANE_transcript	ClinVar_PL_record_count	public_label_v5	low_record_burden_flag	unit_count	best_single_exon_coverage_fraction	best_adjacent_exon_block_coverage_fraction	best_downstream_CDS_implantation_coverage_fraction	detail_page
A2ML1	ENST00000299698.12	1	Low-record-burden interpretation-limited	true	204	1.000000	1.000000	0.000000	genes/A2ML1.html
A4GALT	ENST00000642412.2	1	Low-record-burden interpretation-limited	true	8	1.000000	1.000000	1.000000	genes/A4GALT.html
AAAS	ENST00000209873.9	103	Compact downstream-CDS record-coverage hypothesis	false	85	0.087379	0.368932	0.932039	genes/AAAS.html
AAGAB	ENST00000261880.10	21	Compact downstream-CDS record-coverage hypothesis	false	49	0.238095	0.809524	0.857143	genes/AAGAB.html
AAR2	ENST00000320849.9	1	Low-record-burden interpretation-limited	true	13	1.000000	1.000000	1.000000	genes/AAR2.html
AARS1	ENST00000261772.13	83	Compact downstream-CDS record-coverage hypothesis	false	115	0.156627	0.373494	1.000000	genes/AARS1.html
AARS2	ENST00000244571.5	71	Compact downstream-CDS record-coverage hypothesis	false	121	0.098592	0.366197	0.901408	genes/AARS2.html
AASS	ENST00000417368.7	20	Compact downstream-CDS record-coverage hypothesis	false	133	0.100000	0.400000	1.000000	genes/AASS.html
ABAT	ENST00000268251.13	39	Compact downstream-CDS record-coverage hypothesis	false	85	0.153846	0.461538	1.000000	genes/ABAT.html
ABCA1	ENST00000374736.8	76	Large-payload / donor-burden stress	false	289	0.144737	0.263158	1.000000	genes/ABCA1.html
ABCA12	ENST00000272895.12	206	Large-payload / donor-burden stress	false	307	0.048544	0.140777	0.995146	genes/ABCA12.html
ABCA13	ENST00000435803.6	4	Low-record-burden interpretation-limited	true	361	0.500000	0.500000	1.000000	genes/ABCA13.html
ABCA2	ENST00000341511.11	14	Low-record-burden interpretation-limited	true	283	0.214286	0.357143	1.000000	genes/ABCA2.html
ABCA3	ENST00000301732.10	135	Downstream-CDS high-coverage with context burden	false	187	0.081481	0.237037	1.000000	genes/ABCA3.html
ABCA4	ENST00000370225.4	1464	Large-payload / donor-burden stress	false	289	0.043716	0.148907	0.987022	genes/ABCA4.html
ABCA5	ENST00000392676.8	5	Low-record-burden interpretation-limited	true	223	0.200000	0.400000	1.000000	genes/ABCA5.html
